,index,Length,Processed_Text,labels
1025,1025,48,sore throat scratch talk,0
1026,1026,28,yes da plm ur office,0
1027,1027,43,around still asleep v,0
1028,1028,49,lol forgot eh yes bring babe,0
1029,1029,26,good find way,0
1030,1030,58,use foreign stamp country good lecture,0
1031,1031,17,yup bathe liao,0
1032,1032,26,happy new year 1 man,0
1033,1033,127,oh mr sheffield wan na play game okay bos nanny give raise give one,0
1034,1034,103,zoe hit 2 im fucking shitin il defo try hardest 2 cum 2morow luv u million lekdog,0
1035,1035,157,hello baby get back mom setting computer filling belly go loverboy miss already sigh,0
1036,1036,34,blanket sufficient thx,0
1037,1037,128,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt,0
1038,1038,143,edison rightly said fool ask question wise man answer know u speechless viva gm,0
1039,1039,51,talking thats de wont,0
1040,1040,60,today going college able atten class,0
1041,1041,30,class holla later,0
1042,1042,41,easy ah sen got selected mean good,0
1043,1043,103,mmm thats better got roast b better drink 2 good indian,0
1044,1044,101,know someone know fancy call 09058097218 find pobox 6 ls15hb 150p,1
1045,1045,19,come round,0
1046,1046,114,1 thing change sentence want 2 concentrate educational career im leaving,0
1047,1047,104,1000 flirting txt girl bloke ur name age eg girl zoe 18 8007 join get chatting,1
1048,1048,78,walked hour 2 c u show care wont u believe im serious,0
1049,1049,135,18 day euro2004 kickoff u kept informed latest news result daily unsubscribe send get euro stop 83222,1
1050,1050,41,available soiree june 3rd,0
1051,1051,46,u noe wat time e place dat sell 4d close,0
1052,1052,136,got another job one hospital data analysis something start monday sure thesis got finished,0
1053,1053,46,jay getting really impatient belligerent,0
1054,1054,157,hiya comin 2 bristol 1 st week april le got rudi new yr eve snoring drunk u bak college yet work sends ink 2 bath,0
1055,1055,24,work please call,0
1056,1056,17,u drive lor,0
1057,1057,20,ard 515 like dat,0
1058,1058,84,tell female v throwing deciding get,0
1059,1059,153,eastenders tv quiz flower dot compare violet e tulip f lily txt e f 84025 4 chance 2 win 100 cash wkent 150p16,1
1060,1060,63,working technical support voice process networking field,0
1061,1061,155,might come kerala 2 day prepared take leave finalise dont plan travel visit need finish urgent work,0
1062,1062,122,ok sure time tho sure get library class try see point good eve,0
1063,1063,143,new local date area lot new people registered area reply date start 18 www flirtparty u replys150,1
1064,1064,50,fine bitch later,0
1065,1065,25,mum went 2 dentist,0
1066,1066,44,free call sir waiting,0
1067,1067,65,meeting u work tel shall work tomorrow,0
1068,1068,134,someone u know asked dating service 2 contact cant guess call 09058091854 revealed po box385 m6 6wu,1
1069,1069,21,jus finish bathing,0
1070,1070,47,alright make sure car back tonight,0
1071,1071,157,urgent trying contact u today draw show 800 prize guaranteed call 09050003091 land line claim c52 valid12hrs,1
1072,1072,90,dear u invited xchat final attempt contact u txt chat 86688,1
1073,1073,135,lul im gettin juicy gossip hospital two nurse talking fat gettin one think shes obese oyea,0
1074,1074,39,aight ill get fb couple minute,0
1075,1075,83,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,0
1076,1076,44,download clear movie dvd copy,0
1077,1077,28,yep pretty sculpture,0
1078,1078,24,convey regard,0
1079,1079,67,watching surya movie 6 pm vijay movie pokkiri,0
1080,1080,67,tell happen dont behave like ok need say,0
1081,1081,33,u get pic msg phone,0
1082,1082,24,send someone else,0
1083,1083,119,wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem,0
1084,1084,910,love start attraction feel need every time around first thing come thought would start day end every time dream love every breath name life happen around life named would cry give happiness take sorrow ready fight anyone love craziest thing love proove anyone girl beautiful lady whole planet always singing praise love start making chicken curry end makiing sambar life beautiful get every morning thank god day would like say lot tell later,0
1085,1085,158,fr ndship like needle clock though v r clock v r nt able 2 met evn v meet itz 4few second bt v alwys stay conected gud 9t,0
1086,1086,35,think spatula hand,0
1087,1087,24,never nothing,0
1088,1088,153,awarded sipix digital camera call 09061221061 landline delivery within 28days c box177 m221bp 2yr warranty 150ppm 16 p 3 99,1
1089,1089,53,goodmorning today late lt decimal gt min,0
1090,1090,147,win urgent mobile number awarded 2000 prize guaranteed call 09061790121 land line claim 3030 valid 12hrs 150ppm,1
1091,1091,72,please da call mistake side sorry da pls da goto doctor,0
1092,1092,19,r meeting,0
1093,1093,188,well weather cali great complexity great need car move freely tax outrageous great place sad part missing home,0
1094,1094,71,reached home tired come tomorro,0
1095,1095,23,ryder unsold gibbs,0
1096,1096,142,dear subscriber ur draw 4 100 gift voucher b entered receipt correct an elvis presley birthday txt answer 80062,1
1097,1097,160,fret buy ovulation test strip send wont get til like march send postal address u alright okay,0
1098,1098,73,gift trying get throw cliff something,0
1099,1099,106,ne thing interesting good birthday u wrking nxt started uni today,0
1100,1100,80,busy come point figure tomorrow,0
1101,1101,105,yeah go bored depressed sittin waitin phone ring hope wind drop though scary,0
1102,1102,43,black shirt n blue jean thk c,0
1103,1103,68,aiyah sorry lor watch tv watch forgot 2 check phone,0
1104,1104,159,message important information o2 user today lucky day 2 find log onto http www urawinner com fantastic surprise awaiting,1
1105,1105,32,hen night going swing,0
1106,1106,159,good afternoon love go day woke early online waiting hmmm italian boy online see grin,0
1107,1107,140,someone smoke every time smoked last two week calling texting wanted smoke,0
1108,1108,101,get headache trying figure u trust math promise,0
1109,1109,31,first time dhoni rock,0
1110,1110,23,ok ill tell company,0
1111,1111,58,awesome think get 8th usf time tonight,0
1112,1112,37,mean still think teju,0
1113,1113,61,good movie ok leave hourish,0
1114,1114,60,kallis home ground amla home town durban,0
1115,1115,54,let make saturday monday per convenience,0
1116,1116,69,hey time driving fri go evaluation fri,0
1117,1117,70,449050000301 2 000 price claim call 09050000301,1
1118,1118,72,going 4 lunch wif family aft dat go str 2 orchard lor,0
1119,1119,156,bored speed dating try speedchat txt speedchat 80155 like em txt swap get new chatter chat80155 pobox36504w45wq 150p msg rcd 16,1
1120,1120,40,cancel cheyyamo get money back,0
1121,1121,153,want 750 anytime network min 150 text new video phone five pound per week call 08000776320 reply delivery tomorrow,1
1122,1122,36,ok ok ok whats ur today plan,0
1123,1123,35,good morning princess,0
1124,1124,34,aiyar sorry lor forgot 2 tell u,0
1125,1125,156,taking part mobile survey yesterday 500 text 2 use however wish 2 get txts send txt 80160 c www txt43 com 1 50p,1
1126,1126,79,tonight mate catching sleep new number way,0
1127,1127,114,height oh shit situation guy throw luv letter gal fall brother head who gay,0
1128,1128,105,ur hmv quiz cash balance currently 500 maximize ur cash send hmv1 86688 150p msg,1
1129,1129,64,check error difficulty correction,0
1130,1130,25,howz pain hope u r fine,0
1131,1131,22,sorry call later,0
1132,1132,35,good morning princess,0
1133,1133,156,entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went,0
1134,1134,58,u wake already thanx 4 e tau sar piah quite nice,0
1135,1135,31,k need login anything,0
1136,1136,120,dont forget place many free request 1stchoice co uk wish information call 08707808226,1
1137,1137,24,lol busy,0
1138,1138,17,u wearing,0
1139,1139,152,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com,0
1140,1140,41,oh usual vijay film different,0
1141,1141,158,know u u know send chat 86688 let find 150p msg rcvd hg suite342 2lands row w1j6hl ldn 18 year,1
1142,1142,80,good day mine really busy much tomorrow night,0
1143,1143,85,way send shade stuff wonderful,0
1144,1144,115,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf 2 study,0
1145,1145,115,thank winner notified sm good luck future marketing reply stop 84122 customer service 08450542832,1
1146,1146,25,babe lost,0
1147,1147,45,ok help ask working tmr,0
1148,1148,70,driving raining get caught e mrt station lor,0
1149,1149,22,drop tank,0
1150,1150,43,said text one time,0
1151,1151,22,sorry call later,0
1152,1152,22,ok go change also,0
1153,1153,140,1000 girl many local 2 u r virgin 2 r ready 2 4fil ur every sexual need u 4fil text cute 69911 1 50p,1
1154,1154,72,u find sitter kaitlyn sick slept day yesterday,0
1155,1155,91,sorry man accidentally left phone silent last night check til got,0
1156,1156,70,hey something came last min think wun signing tmr hee,0
1157,1157,140,adult would learn experience real danger dont like peep using drug dont need comment,0
1158,1158,31,hey veggie pizza,0
1159,1159,52,yun buying school got offer 2000 plus,0
1160,1160,40,sure neighbor didnt pick,0
1161,1161,23,k sent,0
1162,1162,155,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18,1
1163,1163,145,new theory argument win situation loses person dont argue ur friend kick amp say always correct,0
1164,1164,54,well im computerless time make oreo truffle,0
1165,1165,43,haha yeah see sec,0
1166,1166,30,number sir,0
1167,1167,39,lol hot air balloon,0
1168,1168,71,ok bus come soon come otherwise tomorrow,0
1169,1169,146,msg r time pas silently say thinking u right also making u think least 4 moment gd nt swt drms shesil,0
1170,1170,73,yeah probably swing roommate finish girl,0
1171,1171,159,got take 2 take part wrc rally oz u lucozade energy text rally le 61200 25p see pack lucozade co uk wrc itcould u,1
1172,1172,23,happy new year melody,0
1173,1173,26,dun need pick ur gf,0
1174,1174,59,yay better told 5 girl either,0
1175,1175,150,horrible u eat mac eat u forgot abt already rite u take long 2 reply thk toot b4 b prepared wat shall eat,0
1176,1176,167,say fantastic chance anything need bigger life lift losing 2 live think would first person 2 die n v q,0
1177,1177,26,nw came hme da,0
1178,1178,66,outside island head towards hard rock run,0
1179,1179,35,day class class,0
1180,1180,26,chennai velachery,0
1181,1181,26,flippin shit yet,0
1182,1182,49,k give sec breaking lt gt cstore,0
1183,1183,38,much bad avoid like,0
1184,1184,36,yo around got car back,0
1185,1185,18,annoying,0
1186,1186,48,goodmorning today late lt gt min,0
1187,1187,68,point hangin mr right makin u happy,0
1188,1188,73,come alive better correct good looking figure,0
1189,1189,49,case guess see campus lodge,0
1190,1190,13,done,0
1191,1191,63,come home one last time wont anything trust,0
1192,1192,133,night worrying appt shame missed girl night quiz popcorn hair,0
1193,1193,155,sex ur mobile free sexy pic jordan text babe 88600 every wk get sexy celeb pocketbabe co uk 4 pic 16 3 wk 087016248,1
1194,1194,13,ok c ya,0
1195,1195,49,1 new voicemail please call 08719181503,1
1196,1196,74,said matter mind saying matter,0
1197,1197,48,also know lunch menu da know,0
1198,1198,138,al moan n e thin go wrong fault al de argument r fault fed himso bother hav 2go thanx xx,0
1199,1199,164,neft transaction reference number lt gt r lt decimal gt credited beneficiary account lt gt lt time gt lt gt,0
1200,1200,40,otherwise part time job na tuition,0
1201,1201,20,know called,0
1202,1202,61,also da feel yesterday night wait til 2day night dear,0
1203,1203,61,thanks understanding trying tell sura,0
1204,1204,147,win year supply cd 4 store ur choice worth 500 enter 100 weekly draw txt music 87066 t c www ldew com subs16 1win150ppmx3,1
1205,1205,130,whole car appreciated last two dad map reading semi argument apart thing going ok p,0
1206,1206,148,sim subscriber selected receive bonus get delivered door txt word ok 88600 claim 150p msg exp 30apr,1
1207,1207,37,need strong arm,0
1208,1208,31,also maaaan missing,0
1209,1209,27,bday real april,0
1210,1210,41,guessin gon na 9,0
1211,1211,49,ok come ur home half hour,0
1212,1212,52,yo game almost want go walmart soon,0
1213,1213,124,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well,0
1214,1214,63,text creepy like think forgot,0
1215,1215,85,would good phone tomo lunchtime shall organise something,0
1216,1216,50,1 new voicemail please call 08719181513,1
1217,1217,70,damn make tonight want wait til tomorrow,0
1218,1218,55,k k also fine complete course,0
1219,1219,119,true passable get high score apply phd get 5years salary make life easier,0
1220,1220,143,1 nokia tone 4 ur mob every week txt nok 87021 1st tone free get txtin tell ur friend 150p tone 16 reply hl 4info,1
1221,1221,22,prakesh know,0
1222,1222,43,teach apps da come college,0
1223,1223,46,rofl betta invest anti aging product,0
1224,1224,146,winner u specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,1
1225,1225,75,sir receive account another 1hr time sorry delay,0
1226,1226,159,reply name address receive post week completely free accommodation various global location www phb1 com ph 08700435505150p,1
1227,1227,43,submitting da project tmr rite,0
1228,1228,123,free entry 250 weekly comp send word enter 84128 18 c www textcomp com cust care 08712405020,1
1229,1229,31,jus an lar u noe later,0
1230,1230,76,want send something sell fast lt gt k easy money,0
1231,1231,51,got thing may pub later,0
1232,1232,27,1 finish meeting call,0
1233,1233,34,lol ok snatch purse,0
1234,1234,129,hello drivby 0quit edrunk sorry iff pthis make senrd dnot dancce 2 drum n basq ihave fun 2nhite x ro xxxxxxx,0
1235,1235,136,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply,0
1236,1236,24,much getting,0
1237,1237,33,ur paper e morn aft tmr,0
1238,1238,63,dear relieved westonzoyland going plan end,0
1239,1239,96,hope great new semester wish best made greatness,0
1240,1240,53,oh yes speak txt 2 u hmm u get email,0
1241,1241,59,want show world princess europe,0
1242,1242,52,nobody decide eat dad want chinese,0
1243,1243,45,shoot doc waiting room,0
1244,1244,34,going 4 dinner soon,0
1245,1245,53,hello site download song urgent pls,0
1246,1246,111,know u mean king havin credit goin2bed night night sweet only1more sleep,0
1247,1247,60,horrible gal sch stuff come u got mc,0
1248,1248,152,hi hun im comin 2nite tell every1 im sorry 4 hope u ava goodtime oli rang melnite ifink mite b sorted il explain everythin mon l8rs x,0
1249,1249,55,call later network urgnt sm,0
1250,1250,84,ummmmmaah many many happy return day dear sweet heart happy birthday dear,0
1251,1251,81,please call 08712402779 immediately urgent message waiting,1
1252,1252,87,yeah like go like friend imma flip shit like half hour,0
1253,1253,84,mum say wan go go shun bian watch da glass exhibition,0
1254,1254,26,plan pongal,0
1255,1255,58,wait till end march el nino get oh,0
1256,1256,46,yet chikku going room nw bus,0
1257,1257,43,also cbe pay,0
1258,1258,24,honey boo missing u,0
1259,1259,97,sent jd customer service cum account executive ur mail id detail contact u,0
1260,1260,70,yo parent gettin cash good news picked downstem,0
1261,1261,179,thank much skyped wit kz sura didnt get pleasure company hope good given ultimatum oh countin aburo enjoy,0
1262,1262,120,hungry gay guy feeling hungry 4 call 08718730555 10p min stop text call 08712460324 10p min,1
1263,1263,54,ok wahala remember friend need,0
1264,1264,26,see half hour,0
1265,1265,156,im inperialmusic listening2the weirdest track ever sound like insect molested someone plumbing remixed evil men acid,0
1266,1266,47,hey sorry didntgive ya bellearlier hunny,0
1267,1267,48,seriously tell exact word right,0
1268,1268,147,u get 2 phone wan na chat 2 set meet call 09096102316 u cum 2moro luv jane xx 1 minmoremobsemspobox45po139wa,1
1269,1269,40,tee hee lecture cheery bye bye,0
1270,1270,81,sorry chikku cell got problem thts nt able reply u msg u,0
1271,1271,116,still havent collected dough pls let know go place sent get control number,0
1272,1272,5,ok,0
1273,1273,66,network operator service free c visit 80488 biz,1
1274,1274,81,let know contact settled room let know ok,0
1275,1275,20,wot u 2 u weirdo,0
1276,1276,13,lor,0
1277,1277,37,dont put phone silent mode ok,0
1278,1278,66,meet 5 4 depends wan 2 lor,0
1279,1279,69,waiting 4 tv show 2 start lor u leh still busy ur report,0
1280,1280,55,oh ho first time u use type word,0
1281,1281,45,one stalk profile,0
1282,1282,160,ever green quote ever told jerry cartoon person irritates u always one love u vry much fails express gud nyt,0
1283,1283,25,yes thought thanks,0
1284,1284,28,drinkin ok,0
1285,1285,40,wondering others took,0
1286,1286,156,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay gud mrng,0
1287,1287,138,dog must always wait till end day word run time cell already,0
1288,1288,24,happy new year u,0
1289,1289,70,hey great deal farm tour 9am 5pm 95 pax 50 deposit 16 may,0
1290,1290,62,eat jap done oso aft ur lect wat got lect 12 rite,0
1291,1291,86,hey babe saw came online second disappeared happened,0
1292,1292,174,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wish,0
1293,1293,48,happy birthday may ur dream come true,0
1294,1294,48,aiyah u ok already lar e nydc wheellock,0
1295,1295,25,tell said eat shit,0
1296,1296,54,sure driving reach destination soon,0
1297,1297,38,k much 8th fifty,0
1298,1298,46,daily text favour time,0
1299,1299,64,great hear settling well happenin wit ola,0
1300,1300,133,cocksucker make feel better ipads worthless garbage novelty item feel bad even wanting one,0
1301,1301,36,tot u reach liao said shirt,0
1302,1302,132,fran decided 2 go n e way im completely broke knackered got bout 3 c u 2mrw love janx p dad fone credit,0
1303,1303,51,cant pick phone right pls send message,0
1304,1304,48,right make appointment right,0
1305,1305,62,designation software developer may get chennai,0
1306,1306,163,enjoy jamster videosound gold club credit 2 new videosounds 2 logo musicnews get fun jamster co uk 16 help call 09701213186,1
1307,1307,155,get 3 lion england tone reply lionm 4 mono lionp 4 poly 4 go 2 www ringtones co uk original n best tone 3gbp network operator rate apply,1
1308,1308,48,jokin oni lar busy wun disturb,0
1309,1309,39,ok careful text drive,0
1310,1310,103,always even spirit get bb soon trying sure need,0
1311,1311,83,u r much close heart u go away shattered plz stay,0
1312,1312,84,love u 2 babe r u sure everything alrite idiot txt bak girlie,0
1313,1313,39,abt making pic bigger,0
1314,1314,122,got got 2 colour lor one colour quite light n e darker lor actually done styling hair,0
1315,1315,154,whenevr ur sad whenevr ur gray remembr im 2 listn 2 watevr u wan na say jus walk wid little amp promise bring back ur smile,0
1316,1316,36,nothing ok anyway give treat,0
1317,1317,140,win newest potter order phoenix book 5 reply harry answer 5 question chance first among reader,1
1318,1318,5,ok,0
1319,1319,30,correct work today,0
1320,1320,57,sent scream moan bed princess,0
1321,1321,54,wake long ago already dunno thing,0
1322,1322,34,oh getting even u u,0
1323,1323,85,thk 50 shd ok said plus minus 10 leave line paragraph,0
1324,1324,139,call plz number show coveragd area urgnt call vasai amp reach 4 clock call plz,0
1325,1325,35,yeah jay sort fucking retard,0
1326,1326,31,sorry bathroom sup,0
1327,1327,126,ur balance 500 ur next question sang uptown girl 80 2 answer txt ur answer 83600 good luck,1
1328,1328,48,exam february 4 wish great day,0
1329,1329,94,dont know come ask question like dont mistake,0
1330,1330,27,aight rush ask jay,0
1331,1331,28,good morning plz call sir,0
1332,1332,41,ok lar u sleep early nite,0
1333,1333,42,oh icic k lor den meet day,0
1334,1334,150,oh half hour much longer syria canada eh wow must get much work done day u extra time grin,0
1335,1335,162,sometimes put wall around heart safe getting hurt find care enough break wall amp get closer goodnoon,0
1336,1336,82,sweet may may go 4u meet carlos gauge patty interest,0
1337,1337,45,buying today need c meh,0
1338,1338,56,aight sorry take ten year shower plan,0
1339,1339,41,every monday nxt week vl completing,0
1340,1340,23,might ax well im,0
1341,1341,112,chill another 6hrs could sleep pain surgical emergency see unfolds okay,0
1342,1342,38,yeah try scrounge something,0
1343,1343,160,crazy ar married like gd looking guy frens like say korean leona fave dun thk aft thinking mayb prob go,0
1344,1344,32,somewhere fredericksburg,0
1345,1345,47,que pas un buen tiempo something like,0
1346,1346,82,ok stay night xavier sleeping bag getting tired,0
1347,1347,25,doesnt need test,0
1348,1348,51,nothing much chillin home super bowl plan,0
1349,1349,155,free2day sexy st george day pic jordan txt pic 89080 dont miss every wk saucy celeb 4 pic c pocketbabe co uk 0870241182716 3 wk,1
1350,1350,22,bugis oso near wat,0
1351,1351,30,yo there class tmrw right,0
1352,1352,121,let ur heart ur compass ur mind ur map ur soul ur guide u never loose world gnun sent via way2sms com,0
1353,1353,53,goodnight sleep well da please take care pa please,0
1354,1354,84,baaaaabe miss youuuuu go teach class 5,0
1355,1355,24,convey regard,0
1356,1356,81,u ned convince tht possible witot hurting feeling main,0
1357,1357,152,good afternoon loverboy go day luck come way think sweetie send love across sea make smile happy,0
1358,1358,131,start sending blackberry torch nigeria find buyer like 4a month tell dad buy bb anyone oh,0
1359,1359,327,lt gt pple marry lover becz hav gud undrstndng dat avoids problem sent dis 2 u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt min whn u read,0
1360,1360,49,yo dude guess got arrested day,0
1361,1361,65,shuhui say change 2 suntec steamboat u noe r u,0
1362,1362,29,dance river,0
1363,1363,207,yetunde sorry moji seem busy able go shopping please find way get wanted u get please forgive reply free via yahoo messenger,0
1364,1364,114,hey really pretty late want go lesson first join reaching tp mrt,0
1365,1365,101,hot live fantasy call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 k,1
1366,1366,49,bbq sat mine 6ish ur welcome 2 come,0
1367,1367,108,know thing wrong everyso often panicks start goin bout bein good enough,0
1368,1368,36,alright good night,0
1369,1369,32,try making another butt,0
1370,1370,50,hope feeling great pls fill abiola,0
1371,1371,80,though shd go n fun bar town something sound ok,0
1372,1372,141,1 go write msg 2 put dictionary mode 3 cover screen hand 4 press lt gt 5 gently remove ur hand interesting,0
1373,1373,151,bear pic nick tom pete dick fact type try gay chat photo upload call 08718730666 10p min 2 stop text call 08712460324,1
1374,1374,154,500 new mobile 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18 txtauction,1
1375,1375,23,finally ready fyi,0
1376,1376,40,auntie huai juan never pick phone,0
1377,1377,159,double min double txt 1 2 price linerental latest orange bluetooth mobile call mobileupd8 latest offer 08000839402 call2optout lf56,1
1378,1378,25,ya tel wats ur problem,0
1379,1379,143,1 nokia tone 4 ur mob every week txt nok 87021 1st tone free get txtin tell ur friend 150p tone 16 reply hl 4info,1
1380,1380,22,dnt wnt tlk wid u,0
1381,1381,155,spend day waiting ideal path appear front u forget path made walking waiting goodnight,0
1382,1382,72,ok arm feeling weak cuz got shot go another time,0
1383,1383,203,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle,0
1384,1384,278,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one 4get name person,0
1385,1385,115,ok popped ask bout something said around tonght wen girl come,0
1386,1386,27,e best 4 ur exam later,0
1387,1387,139,hope ur head hurt 2 much ploughing way pile ironing staying chinky tonight come round like,0
1388,1388,46,oh k think wi nz player unsold,0
1389,1389,115,haha got fast lose weight thk muz go 4 month den got effect gee later go aust put bk e weight,0
1390,1390,155,wonder got online love gone net cafe get phone recharged friend net think boytoy,0
1391,1391,35,haha kidding papa need drug,0
1392,1392,82,thk shld b ya wana go 4 lesson haha go one whole stretch,0
1393,1393,7,oh ok,0
1394,1394,36,r still meeting 4 dinner tonight,0
1395,1395,73,thats cool gentleman treat dignity respect,0
1396,1396,24,shall start hear,0
1397,1397,49,wait 4 u lor need 2 feel bad lar,0
1398,1398,48,check got detailed message,0
1399,1399,155,registered sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone,0
1400,1400,93,decided people care stuff vote caring stuff loser,0
1401,1401,99,kaiez enjoy ur tuition gee thk e second option sound beta go yan jiu den msg u,0
1402,1402,155,registered sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone,0
1403,1403,48,cool fun practicing making baby,0
1404,1404,42,actually getting ready leave house,0
1405,1405,24,k k special today,0
1406,1406,163,urgent important information o2 user today lucky day 2 find log onto http www urawinner com fantastic surprise awaiting,1
1407,1407,30,got ta,0
1408,1408,44,got ten buck jay noncomittal,0
1409,1409,24,hungry,0
1410,1410,34,pls speak customer machan,0
1411,1411,144,somewhere beneath pale moon light someone think u dream come true goodnite amp sweet dream,0
1412,1412,179,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
1413,1413,143,dear u invited xchat final attempt contact u txt chat 86688 150p msgrcvdhg suite342 2lands row w1j6hl ldn 18 yr,1
1414,1414,52,wats ur opinion abt abt character,0
1415,1415,82,jay snickering tell x totally fucking chord speak,0
1416,1416,39,hour went hair cut,0
1417,1417,80,wonder co dun rem seeing silver car thk saw black one,0
1418,1418,35,lmao take pic send,0
1419,1419,82,speak feel word better silence gud mrng,0
1420,1420,41,currently scotland,0
1421,1421,27,work week,0
1422,1422,152,congratulation ur awarded either 500 cd gift voucher free entry 2 100 weekly draw txt music 87066 tncs www ldew com 1 win150ppmx3age16,1
1423,1423,32,lol great im getting hungry,0
1424,1424,33,yes saw message,0
1425,1425,41,mu like lt gt second,0
1426,1426,5,ok,0
1427,1427,126,thing r good thanx got exam march ive done revision fran still boyf ive got ta interviw 4 exeter bit worried x,0
1428,1428,153,tell make little spreadsheet track whose idea smoke determine smoke much entire month february,0
1429,1429,71,sale arsenal dartboard good condition double treble,1
1430,1430,141,look back building coat want get sick hurry home wear coat gym,0
1431,1431,124,painful personal thought always try keep everybody happy time nobody recognises alone,0
1432,1432,38,thanks lovely wisheds rock,0
1433,1433,63,intrepid duo great time see soon,0
1434,1434,47,asked sen come chennai search job,0
1435,1435,22,dad went oredi,0
1436,1436,115,jus hope true missin co really missin done anything feel guilty yet,0
1437,1437,71,wat late still early mah juz go 4 dinner lor aiya dunno,0
1438,1438,34,arm fine cardiff uni,0
1439,1439,72,fact leave think addie go back school tues wed,0
1440,1440,134,cool breeze bright sun fresh flower twittering bird waiting wish u goodmorning amp nice day,0
1441,1441,26,ya going restaurant,0
1442,1442,38,ok askd u knw tht,0
1443,1443,141,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod 250 cash every wk txt pod 84128 t c www textpod net custcare 08712405020,1
1444,1444,25,ducking chinchilla,0
1445,1445,27,marriage function,0
1446,1446,159,look like u wil b getting headstart im leaving bout 2 30ish u r desperate company could head earlier goin meet rummer,0
1447,1447,107,give flying monkey wot think certainly mind friend mine,0
1448,1448,142,registered optin subscriber ur draw 4 100 gift voucher entered receipt correct an 80062 whats no1 bbc chart,1
1449,1449,13,say thanks2,0
1450,1450,25,msg rajini come,0
1451,1451,65,ya taking ure practical lesson start june,0
1452,1452,33,good need drug,0
1453,1453,23,stupid possible,0
1454,1454,53,decide faster co si going home liao,0
1455,1455,159,summer finally fancy chat flirt sexy single yr area get matched reply summer free 2 join optout txt stop help08714742804,1
1456,1456,104,u sleeping going take haha got spy wat online checking n replying mail lor,0
1457,1457,154,claire havin borin time alone u wan na cum 2nite chat 09099725823 hope 2 c u luv claire xx 1 minmoremobsemspobox45po139wa,1
1458,1458,149,fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,0
1459,1459,81,bought one ringtone getting text costing 3 pound offering tone etc,1
1460,1460,144,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae lyf nt yet ovr chikku ali vargu lyfu meow meow,0
1461,1461,51,kinda first one get twelve aah speak tomo,0
1462,1462,153,09066362231 urgent mobile 07xxxxxxxxx 2 000 bonus caller prize 02 06 03 2nd attempt reach call 09066362231 asap,1
1463,1463,114,ok good later come find c lucky told go earlier later pple take finish,0
1464,1464,131,wat make u thk fall actually thk quite prone 2 fall lucky dad home ask come n fetch already,0
1465,1465,159,07801543489 guaranteed latest nokia phone 40gb ipod mp3 player 500 prize txt word collect 83355 tc llc ny usa 150p mt msgrcvd18,1
1466,1466,174,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt,0
1467,1467,42,wont touch permission,0
1468,1468,161,hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg 2day 09099726395 lucy x 1 minmobsmorelkpobox177hp51fl,1
1469,1469,153,7 wonder world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sm 1st ur lovely friendship good morning dear,0
1470,1470,37,take small dose tablet fever,0
1471,1471,61,oh u must taken real valentine shopping first,0
1472,1472,74,sent email address incomm right,0
1473,1473,93,gon na blake night might able get little early,0
1474,1474,141,friendship game play word say start march end may tomorrow yesterday today e,0
1475,1475,85,nice wait texting right gon na pay ticket ya know,0
1476,1476,78,watching lotr w si dis aft u wan 2 meet 4 dinner nite,0
1477,1477,33,keeping away like,0
1478,1478,90,think far find check google map place dorm,0
1479,1479,147,trip ok quite tiring lor uni start today ok 4 co taking module jus concentrating final yr project,0
1480,1480,33,always saying welp,0
1481,1481,32,guy browsin compulsory,0
1482,1482,5,ok,0
